target_id,input_tokens,output_tokens,latency,success,pred_id,answer
1,3572,5,0.69,1,1,go_near(1
2,3555,5,0.53,1,2,go_near(2
3,3558,7,0.58,0,15,go_near(15)
4,3565,5,0.54,0,1,go_near(1
5,3558,6,0.57,1,5,go_near(5)
6,3560,7,0.58,0,10,go_near(10)
7,3556,7,0.58,0,15,go_near(15)
8,3552,5,0.55,0,1,go_near(1
9,3555,6,0.57,1,9,go_near(9)
10,3561,7,0.59,1,10,go_near(10)
11,3568,3,0.5,0,-1,go_near
12,3552,5,0.56,0,1,go_near(1
13,3557,7,0.59,0,15,go_near(15)
14,3550,3,0.5,0,-1,go_near
15,3561,7,0.6,1,15,go_near(15)
16,3559,5,0.55,0,1,go_near(1
17,3557,7,0.6,0,15,go_near(15)
18,3552,5,0.55,0,1,go_near(1
19,3557,7,0.58,1,19,go_near(19)
20,3557,7,0.6,0,10,go_near(10)
21,3556,6,0.57,0,1,go_near(1)
22,3553,7,0.59,0,15,go_near(15)
23,3556,7,0.6,0,15,go_near(15)
24,3553,6,0.57,0,14,go_near(14
25,3556,7,0.61,1,25,go_near(25)
26,3557,7,0.6,0,15,go_near(15)
27,3557,7,0.6,0,15,go_near(15)
28,3557,7,1.93,0,14,go_near(14)
29,3549,5,0.56,0,1,go_near(1
30,3555,7,0.62,0,15,go_near(15)
31,3562,7,0.61,0,15,go_near(15)
32,3553,7,0.61,0,15,go_near(15)
33,3553,7,0.61,0,15,go_near(15)
34,3553,5,0.57,0,1,go_near(1
35,3551,7,0.61,0,15,go_near(15)
36,3553,6,0.59,0,14,go_near(14
37,3557,7,0.61,0,15,go_near(15)
38,3553,7,0.61,0,15,go_near(15)
39,3557,7,0.61,0,15,go_near(15)
40,3552,6,0.59,0,14,go_near(14
41,3552,7,0.62,0,15,go_near(15)
42,3553,7,0.62,0,15,go_near(15)
43,3555,7,0.61,0,15,go_near(15)
44,3562,7,0.62,0,14,go_near(14)
45,3554,7,0.59,0,15,go_near(15)
46,3555,7,0.62,0,15,go_near(15)
47,3556,7,0.6,0,15,go_near(15)
48,3553,6,0.59,0,14,go_near(14
49,3554,7,0.61,0,15,go_near(15)
50,3550,3,0.54,0,-1,go_near
